Timestamp,Value,Year,Month,Day,Hour,Date
2024-11-14 14:00:00+12:00,8.6,2024,11,14,14,2024-11-14
2024-11-14 15:00:00+12:00,9.5,2024,11,14,15,2024-11-14
2024-11-14 16:00:00+12:00,9.2,2024,11,14,16,2024-11-14
2024-11-14 17:00:00+12:00,6.4,2024,11,14,17,2024-11-14
2024-11-14 18:00:00+12:00,6.6,2024,11,14,18,2024-11-14
2024-11-14 19:00:00+12:00,5.6,2024,11,14,19,2024-11-14
2024-11-14 20:00:00+12:00,4.8,2024,11,14,20,2024-11-14
2024-11-14 21:00:00+12:00,3.9,2024,11,14,21,2024-11-14
2024-11-14 22:00:00+12:00,4.0,2024,11,14,22,2024-11-14
2024-11-14 23:00:00+12:00,2.3,2024,11,14,23,2024-11-14
2024-11-15 00:00:00+12:00,1.6,2024,11,15,0,2024-11-15
2024-11-15 01:00:00+12:00,1.5,2024,11,15,1,2024-11-15
2024-11-15 02:00:00+12:00,1.2,2024,11,15,2,2024-11-15
2024-11-15 03:00:00+12:00,2.1,2024,11,15,3,2024-11-15
2024-11-15 04:00:00+12:00,4.2,2024,11,15,4,2024-11-15
2024-11-15 05:00:00+12:00,6.4,2024,11,15,5,2024-11-15
2024-11-15 06:00:00+12:00,11.9,2024,11,15,6,2024-11-15
2024-11-15 09:00:00+12:00,17.8,2024,11,15,9,2024-11-15
2024-11-15 10:00:00+12:00,15.3,2024,11,15,10,2024-11-15
2024-11-15 11:00:00+12:00,16.5,2024,11,15,11,2024-11-15
2024-11-15 12:00:00+12:00,11.2,2024,11,15,12,2024-11-15
2024-11-15 14:00:00+12:00,12.0,2024,11,15,14,2024-11-15
2024-11-15 15:00:00+12:00,9.2,2024,11,15,15,2024-11-15
2024-11-15 16:00:00+12:00,2.0,2024,11,15,16,2024-11-15
2024-11-15 17:00:00+12:00,1.1,2024,11,15,17,2024-11-15
2024-11-15 18:00:00+12:00,1.5,2024,11,15,18,2024-11-15
2024-11-15 19:00:00+12:00,1.5,2024,11,15,19,2024-11-15
2024-11-15 20:00:00+12:00,1.4,2024,11,15,20,2024-11-15
